Age at Issuance,Gender,Marital Status,Financial Dependents,Income (INR p.a.),Occupation,Major Life Events,Location,Policy Type,Time Since Issuance,Sum Assured (INR),Premium (INR p.a.),Payment Frequency,Payment Method,Missed Payments,Bank Balance (INR),Credit Score,Purchase Channel,Churn
56.6,Female,Unmarried,1,251706,Employed,2,Urban,Term Life,7+ months,1000000,17875,Monthly,Manual Payment,2,58798,602,Agent Distribution,1
46.1,Female,Unmarried,2,253567,Employed,1,Rural,Term Life,4-6 months,500000,9989,Half Yearly,Auto-Debit,2,75810,717,Agent Distribution,1
32.3,Male,Married,0,278335,Gig Work,1,Rural,Term Life,4-6 months,5000000,72223,Half Yearly,Manual Payment,0,14835,752,Embedded Apps,0
60.4,Male,Married,0,127717,Employed,2,Urban,Whole Life,0-3 months,1000000,16927,Half Yearly,Manual Payment,0,84298,755,Embedded Apps,1
25.1,Male,Married,5,162444,Employed,3,Urban,Whole Life,4-6 months,2000000,33452,Quarterly,Auto-Debit,0,206795,740,Agent Distribution,0
38.0,Female,Married,1,120000,Gig Work,2,Urban,Whole Life,7+ months,500000,5165,Monthly,Manual Payment,0,155402,669,Agent Distribution,0
56.2,Female,Unmarried,3,532038,Gig Work,1,Rural,Whole Life,0-3 months,500000,6807,Annual,Auto-Debit,0,66372,638,Embedded Apps,1
36.4,Male,Unmarried,3,120000,Gig Work,2,Rural,Term Life,0-3 months,1000000,17495,Half Yearly,Auto-Debit,1,102492,620,Agent Distribution,0
40.9,Female,Married,3,601699,Employed,0,Rural,Term Life,7+ months,2000000,30643,Monthly,Manual Payment,1,63263,559,Direct,0
28.1,Female,Married,5,708173,Gig Work,0,Urban,Supplemental Health Insurance,7+ months,500000,2658,Monthly,Manual Payment,0,111191,759,Direct,1
28.8,Female,Unmarried,1,217178,Gig Work,1,Rural,Supplemental Health Insurance,7+ months,5000000,50252,Monthly,Auto-Debit,0,338434,666,Agent Distribution,0
41.4,Female,Married,0,120000,Employed,3,Urban,Term Life,7+ months,1000000,7167,Monthly,Auto-Debit,2,214228,580,Embedded Apps,0
54.0,Male,Unmarried,2,208372,Employed,1,Rural,Whole Life,4-6 months,1000000,8494,Quarterly,Auto-Debit,0,149736,613,Direct,0
57.9,Male,Married,0,256548,Employed,0,Urban,Term Life,0-3 months,500000,9291,Monthly,Auto-Debit,2,66548,610,Direct,0
41.7,Male,Married,0,132267,Retired,0,Urban,Term Life,4-6 months,500000,2776,Monthly,Manual Payment,0,179862,683,Embedded Apps,0
20.4,Male,Married,2,187090,Employed,3,Urban,Term Life,7+ months,2000000,16594,Half Yearly,Auto-Debit,0,25603,765,Embedded Apps,1
39.5,Female,Married,3,783194,Employed,2,Rural,Term Life,7+ months,5000000,48217,Monthly,Auto-Debit,0,80669,652,Direct,0
19.0,Female,Unmarried,2,427388,Employed,1,Rural,Whole Life,0-3 months,2000000,28506,Half Yearly,Manual Payment,1,157466,499,Agent Distribution,1
41.7,Male,Married,1,140477,Gig Work,2,Urban,Whole Life,7+ months,500000,6505,Half Yearly,Auto-Debit,0,178498,664,Agent Distribution,1
61.4,Male,Married,2,120000,Employed,2,Urban,Term Life,4-6 months,1000000,8274,Monthly,Auto-Debit,2,168705,667,Agent Distribution,1
47.5,Male,Married,1,213435,Employed,2,Rural,Term Life,7+ months,1000000,7463,Half Yearly,Manual Payment,0,124974,662,Embedded Apps,1
55.0,Female,Married,0,231094,Employed,1,Urban,Supplemental Health Insurance,0-3 months,10000000,85519,Half Yearly,Manual Payment,0,84408,629,Direct,0
19.5,Male,Married,3,379776,Retired,3,Urban,Term Life,4-6 months,1000000,12537,Quarterly,Manual Payment,1,151809,697,Direct,0
38.4,Female,Married,2,184476,Employed,1,Urban,Whole Life,7+ months,2000000,18135,Monthly,Auto-Debit,0,46060,685,Direct,1
50.2,Male,Unmarried,3,383866,Employed,2,Urban,Term Life,7+ months,1000000,19214,Quarterly,Manual Payment,2,50224,678,Direct,0
29.9,Male,Married,0,1039871,Gig Work,0,Rural,Whole Life,7+ months,1000000,11957,Annual,Auto-Debit,0,103713,713,Direct,1
39.9,Do not wish to disclose,Married,3,474895,Employed,1,Rural,Term Life,4-6 months,1000000,5881,Half Yearly,Auto-Debit,0,113386,645,Direct,0
61.3,Trans,Unmarried,2,259454,Retired,1,Urban,Term Life,4-6 months,500000,7969,Monthly,Manual Payment,1,22914,641,Embedded Apps,1
42.9,Male,Married,2,236048,Employed,2,Urban,Term Life,4-6 months,2000000,19865,Half Yearly,Auto-Debit,4,142075,790,Direct,1
44.7,Female,Unmarried,2,209050,Employed,0,Rural,Term Life,7+ months,1000000,14802,Quarterly,Manual Payment,0,183172,724,Embedded Apps,0
59.7,Female,Married,3,613201,Employed,3,Urban,Term Life,7+ months,2000000,18387,Quarterly,Auto-Debit,2,92797,746,Agent Distribution,0
45.1,Female,Unmarried,2,172971,Employed,1,Rural,Whole Life,4-6 months,500000,6780,Half Yearly,Auto-Debit,0,659721,778,Agent Distribution,0
33.3,Male,Unmarried,2,276967,Gig Work,2,Urban,Term Life,4-6 months,10000000,165822,Quarterly,Manual Payment,2,57162,722,Direct,1
32.3,Female,Unmarried,5,278128,Employed,3,Urban,Term Life,7+ months,500000,9460,Annual,Auto-Debit,1,73948,754,Direct,1
64.8,Female,Unmarried,3,188858,Gig Work,2,Rural,Whole Life,4-6 months,5000000,44584,Half Yearly,Manual Payment,0,71965,553,Agent Distribution,1
61.2,Female,Married,2,120000,Employed,2,Rural,Whole Life,7+ months,5000000,50114,Half Yearly,Auto-Debit,0,92878,696,Agent Distribution,1
20.9,Male,Unmarried,3,336408,Employed,2,Urban,Supplemental Health Insurance,0-3 months,10000000,119639,Monthly,Manual Payment,0,75888,665,Embedded Apps,0
54.6,Male,Married,2,257119,Employed,1,Rural,Whole Life,7+ months,1000000,18907,Annual,Auto-Debit,0,32033,814,Embedded Apps,1
24.9,Male,Married,1,380852,Retired,3,Urban,Whole Life,7+ months,2000000,37041,Annual,Auto-Debit,0,63752,754,Agent Distribution,0
38.4,Female,Married,2,184698,Employed,1,Urban,Whole Life,7+ months,1000000,6348,Monthly,Auto-Debit,1,91299,629,Agent Distribution,0
26.2,Male,Married,4,630693,Employed,2,Rural,Supplemental Health Insurance,7+ months,500000,3489,Quarterly,Manual Payment,5,263776,709,Embedded Apps,0
56.1,Female,Married,4,145256,Employed,2,Rural,Supplemental Health Insurance,0-3 months,1000000,12432,Monthly,Manual Payment,0,574809,693,Agent Distribution,1
35.0,Trans,Married,1,889511,Employed,1,Rural,Term Life,7+ months,500000,3299,Half Yearly,Manual Payment,0,287327,716,Embedded Apps,0
21.8,Male,Married,2,120000,Employed,1,Urban,Term Life,7+ months,10000000,101837,Half Yearly,Auto-Debit,1,53087,598,Embedded Apps,1
42.9,Female,Unmarried,1,363792,Retired,1,Urban,Term Life,4-6 months,500000,3612,Monthly,Auto-Debit,3,56576,708,Direct,1
31.2,Male,Unmarried,5,374295,Employed,3,Urban,Whole Life,0-3 months,2000000,29081,Annual,Auto-Debit,0,86902,661,Agent Distribution,1
26.9,Female,Married,5,153754,Gig Work,3,Urban,Whole Life,0-3 months,2000000,38484,Monthly,Auto-Debit,0,411534,702,Agent Distribution,1
